Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",102.1500,-30.7000,90.0000,top
"C2","100n","C_0805_2012Metric",109.2000,-40.6000,0.0000,top
"C3","100n","C_0805_2012Metric",101.4500,-42.4500,180.0000,top
"C4","100n","C_0805_2012Metric",101.5500,-44.6000,180.0000,top
"C5","100n","C_0805_2012Metric",39.1000,-54.3500,45.0000,top
"C6","100n","C_0805_2012Metric",34.2000,-55.1500,135.0000,top
"C7","100n","C_0805_2012Metric",41.2000,-55.3500,45.0000,top
"C8","100n","C_0805_2012Metric",29.2300,-55.7800,135.0000,top
"C9","100n","C_0805_2012Metric",33.2040,-56.9800,135.0000,top
"C10","100n","C_0805_2012Metric",42.0480,-57.3000,45.0000,top
"C11","100n","C_0805_2012Metric",31.8000,-58.4000,135.0000,top
"C12","100n","C_0805_2012Metric",44.8000,-60.0500,45.0000,top
"C13","100n","C_0805_2012Metric",31.6400,-63.1800,135.0000,top
"C14","100n","C_0805_2012Metric",47.0480,-63.9061,-45.0000,top
"C15","100n","C_0805_2012Metric",30.2600,-64.5600,135.0000,top
"C16","100n","C_0805_2012Metric",45.6800,-65.3100,-45.0000,top
"C17","18p","C_0805_2012Metric",45.0932,-67.5000,-45.0000,top
"C18","100n","C_0805_2012Metric",32.9600,-67.6811,-135.0000,top
"C19","100n","C_0805_2012Metric",37.8500,-68.7000,-45.0000,top
"C20","18p","C_0805_2012Metric",43.5040,-68.9892,-45.0000,top
"C21","100n","C_0805_2012Metric",34.3530,-69.0600,-135.0000,top
"C22","100n","C_0805_2012Metric",97.0490,-80.5490,0.0000,top
"C23","100n","C_0805_2012Metric",56.5625,-97.8500,180.0000,top
"C24","100n","C_0805_2012Metric",63.5500,-99.7375,180.0000,top
"C25","10u","C_0805_2012Metric",60.3000,-103.7500,-90.0000,top
"C26","100uF/25V","CP_Elec_6.3x7.7",88.9200,-104.8700,90.0000,top
"C27","1.2n","C_0805_2012Metric",71.1500,-107.2500,180.0000,top
"C28","100n","C_0805_2012Metric",78.3500,-107.8000,180.0000,top
"C29","10u","C_0805_2012Metric",60.3000,-108.6500,90.0000,top
"C30","10u","C_0805_2012Metric",96.0000,-109.0500,90.0000,top
"C31","1n","C_0805_2012Metric",70.2000,-109.9500,90.0000,top
"C32","10u","C_0805_2012Metric",81.5000,-110.1500,90.0000,top
"C33","10u","C_0805_2012Metric",83.5000,-110.1500,90.0000,top
"C34","10u","C_0805_2012Metric",85.5000,-110.1500,90.0000,top
"C35","10u","C_0805_2012Metric",62.3000,-110.3500,90.0000,top
"C36","10u","C_0805_2012Metric",64.3000,-110.3500,90.0000,top
"C37","1n","C_0805_2012Metric",66.3000,-110.3500,90.0000,top
"C38","100u","CP_EIA-7343-31_Kemet-D",56.9000,-112.8000,180.0000,top
"C39","10u","C_0805_2012Metric",62.2900,-113.8000,-90.0000,top
"C40","10u","C_0805_2012Metric",64.2900,-113.8000,-90.0000,top
"C41","10u","C_0805_2012Metric",81.5000,-114.5000,-90.0000,top
"C42","10u","C_0805_2012Metric",83.4700,-114.5000,-90.0000,top
"C43","10u","C_0805_2012Metric",85.4500,-114.5000,-90.0000,top
"C44","10u","C_0805_2012Metric",87.4500,-114.5000,-90.0000,top
"C45","100n","C_0805_2012Metric",78.1800,-115.2000,0.0000,top
"C46","10u","C_0805_2012Metric",96.0500,-118.1000,-90.0000,top
"CM1","CM4","Raspberry-Pi-4-Compute-Module",85.5000,-37.5000,180.0000,top
"D1","WS2812B-5mm","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",109.0000,-47.0000,90.0000,top
"D2","LED R","LED_0805_2012Metric",98.2000,-56.2000,0.0000,top
"D3","LED G","LED_0805_2012Metric",98.2000,-58.4000,0.0000,top
"F1","3A","Fuse_2512_6332Metric",99.2000,-111.8500,-90.0000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",29.0000,-22.0000,0.0000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",101.0000,-22.5000,0.0000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",29.3777,-117.2160,0.0000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",102.3183,-118.0090,0.0000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",109.8100,-34.0000,90.0000,top
"J2","PCM12SMTR","SW_SPDT_PCM12",94.5900,-44.9500,90.0000,top
"J3","BM03B-SRSS-TB","JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical",94.2200,-52.7300,0.0000,top
"J4","SATA_22pin","SATA_Amphenol_10029364-001LF_Horizontal",23.0000,-70.0000,90.0000,top
"L1","SRN6045TA-3R3Y","L_Bourns_SRN6045TA",69.6039,-115.3271,180.0000,top
"Q1","2N7002","SOT-23",63.4625,-95.2000,-90.0000,top
"Q2","FDS4435BZ","SO08-E3",30.9200,-101.8075,0.0000,top
"Q3","FDS4435BZ","SO08-E3",43.7000,-101.8000,0.0000,top
"Q4","2N7002","SOT-23",35.6700,-103.9475,180.0000,top
"Q5","2N7002","SOT-23",48.4600,-103.9500,180.0000,top
"Q6","FDS4435BZ","SO08-E3",93.4553,-113.5691,-90.0000,top
"R1","5K1","R_0805_2012Metric",103.0000,-28.0000,0.0000,top
"R2","5K1","R_0805_2012Metric",104.0000,-37.4000,-90.0000,top
"R3","330R","R_0805_2012Metric",103.5000,-50.3000,0.0000,top
"R4","12K","R_0805_2012Metric",35.7500,-53.9500,-45.0000,top
"R5","750R","R_0805_2012Metric",30.8000,-54.6000,-45.0000,top
"R6","10K","R_0805_2012Metric",106.4500,-56.0500,0.0000,top
"R7","330R","R_0805_2012Metric",101.6000,-56.2000,0.0000,top
"R8","330R","R_0805_2012Metric",101.6000,-58.4000,0.0000,top
"R9","750R","R_0805_2012Metric",43.4000,-58.7000,45.0000,top
"R10","330R","R_0805_2012Metric",105.6100,-80.6200,0.0000,top
"R12","330R","R_0805_2012Metric",106.4700,-58.7200,-90.0000,top
"R13","10R","R_0805_2012Metric",93.4930,-80.5490,0.0000,top
